"Headline","Bias","Reliability"
"Computer hackers stole thousands of Lightfoot administration emails. Here’s a look at some of what they leaked online.","0","43.67"
"Column: Biden signs popular American Rescue Plan, making GOP look bad. That’s cancel culture!","-20","30"
"CPS head says she wants to compromise with teachers but in-person classes must remain an option. CTU says time is running out for an agreement.","0","48.67"
"The Spin: Kinzinger says he was armed during Capitol riot | Illinois National Guard mobilized amid security threats | Pritzker, Lightfoot aren’t attending inauguration","-1.67","48.33"
"Op-ed: Joe Biden is impeachment’s biggest loser","7.33","35"
"Congress certifies Joe Biden’s Electoral College win hours after violent pro-Trump mob storms US Capitol","-2.33","45.67"
"Spectacle casino executive, former Indiana state senator charged in illegal campaign scheme","2","50"
"House Speaker Michael Madigan says it’s not ‘ethically improper’ to find government jobs for people. Here’s what he’s failing to mention.","7","49.33"
"Vietnam War veterans protest 'Hanoi Jane' at Fonda's Broadway play, calling her 'traitor'","3","50.25"
"Crestwood Mayor Louis Presta pleads not guilty in alleged red-light camera bribery scheme","0","50.33"
"Coronavirus in Illinois updates: 1,834 new known COVID-19 cases reported as state reaches more than 200,000 confirmed infections","-1.67","49"
"Running, unlocked ambulance stolen from South Loop crashes on North Side, injuring at least 1 woman","2","48.67"
"‘Nine times out of 10, I was completely brushed off’: Black Chicagoans confront bias in health care, hope for change","-7","41.17"
"From cabdrivers to concession cashiers, workers supported by Chicago’s airports wonder when — or if — they’ll go back. ‘I don’t see a future.'","-1.67","46"
"CPS students will get the option to do remote learning in the fall, schools CEO says, but opponents are still pushing for all-virtual classes","-3.33","49"
"1 in 5 US workers collects unemployment benefits. Without the extra $600, many say they’ll struggle to buy food, pay bills","-4","50"
"Chicago mass shooting: With 15 people shot outside Gresham funeral home, ‘An eye for an eye makes us both blind,’ top cop says","0.5","49"
"Trump expected to send new federal force to Chicago this week to battle violence, but plan’s full scope is a question mark","-6.67","42"
"Calling Chicago ‘a disaster,’ Trump announces surge of federal agents will be sent to deal with violence spike","-1","50"
"Lincoln Park High School student sues Chicago Board of Ed over alleged sexual assault; CPS briefs Local School Council members on misconduct investigations","4.25","49.5"
"Cook County officials probing whether pediatrician who killed himself had been falsifying vaccination documents for patients","1.5","53.75"
"Amazon pays $50 million for former Old Chicago amusement park and megamall site","0","52"
"Bernie Sanders edges Pete Buttigieg in New Hampshire primary, Amy Klobuchar finishes surprising 3rd","0.25","51.5"
"Actor Jussie Smollett faces new disorderly conduct charges in alleged fake attack","12","40.25"
"Woke Progressives Discourage Term “Mistress,” Instead Encourage “Companion” or “Friend”","17.67","25"
"The Business Of Social Justice","20","20.33"
"CNN Is Exposed, J&J Vax Is Paused, And More Wednesday Haps","22","19.67"
"Shameful: San Diego Teachers Accused Of Providing In-Person Learning To Illegal Migrant Kids Before Their Own Students","22","21.33"
"U.S. Olympic Committee To Allow National Anthem Kneeling, Raised Fists","19","28.67"
"Lara Trump Alleges Outrageous Big Tech Censorship of Donald Trump’s Voice","20.33","27.33"
"AOC Thinks We Shouldn’t Use The Term “Surge” When Discussing Immigration Because Children Are Not “Insurgents”","20","28.33"
"Delta Boycotts Georgia Over New Law, Activists Lose Their Minds After State Legislature Rescinds Delta Tax Breaks","16.67","33.67"
"President Joe Biden Boards Air Force One To Head To Pittsburgh","22","25.67"
"Jill Biden Panders, Butchers Spanish Phrase; People Question Her Background Flag","18.67","26.33"
"CNN Guest Admits They’re Trying To Bribe You Into Getting Vaccine","18","25.67"
"Buttigieg Caught Faking His Bike Commute, Drives Most Of The Way Before Unloading Bike From SUV","20.67","21"
"Woke Progressive Lunacy Targets Sarah Paulson For Refusing To Include Her Pronouns In Her Twitter Bio, Despite Her LGBTQ Activism","14.33","32.33"
"Germany Busts Massive Darknet Child Porn Site Used by 400,000 Around the World","0","48.67"
"Secretary of State Mike Pompeo on The 700 Club: Is Biden Reversing All the Progress of the Trump Admin?","18.67","26"
"A Transgender Potato Head? Hasbro's Classic Plastic Toy Experiences a Change","10","32.67"
"Twitter Permanently Bans MyPillow CEO Mike Lindell","7.33","42.33"
"Dominion Sues Trump Attorney Rudy Giuliani for $1.3B Over Defamation During Election Aftermath","0","48.33"
"Former Trump Press Secretary Sarah Sanders to Run for Arkansas Governor to Take on the 'Radical Left'","12.67","38"
"U.S. Universities Have Been Tearing Down America, Now COVID Might Close Some Down for Good","13","39.33"
"Pastors Call on Christians to Ditch the Fear and Political Conspiracy Theories","3.67","41.33"
"Democrats' Main Impeachment Goal: To Keep Trump from Running for Office Ever Again","6","39.33"
"The Global Elite's Plan for Your Future: The Great Reset","24.67","19.33"
"'Artificial Reality': How Big Tech and Media 'Propagandists' Teach Us to Love Censorship and Hate Journalism","15","28"
"FDA Hoping to Expedite Vaccines for Emergency Use in December as COVID Surge Prompts Severe Restrictions","1.67","50"
"Election Chaos: Could the House of Representatives Ultimately Choose Who Becomes President?","3.33","47"
"Republican Burgess Owens Defeats Utah Congressman McAdams","1.33","50.67"
"'God Is Great': Lost Hiker Rescued, Brought Back from the Dead in 'Miracle' Recovery","1.67","41.67"
"Could Nancy Pelosi Lose Her Position as House Speaker?","15","33.33"
"Trump Lawyers Say Witnesses and Evidence Prove a Stolen Election: 'The Software Was Designed to Rig Elections'","18.83","28.67"
"650 Cases Out of 3 Million: The NY Times Falsely Accuses Churches as 'Major Source' of COVID-19","18","39"
"Biden Makes First General Campaign Trip to Wisconsin, Meets with Blake's Family","14.33","33.67"
"Universities Helped Train the Rioters Burning American Cities by 'Cranking Out Utter Madness'","22","25.33"
"Dozens of Children Rescued, but Roughly 200 Missing in Northern Ohio Alone","13.67","33.33"
"Mike Pence on Multi-State Campaign Tour to Promote Life","19.67","36"
"Senator Warns the Fight Over DC Statehood Could Mean the GOP Would Never Again Control the US Senate","10.67","41"
"John MacArthur Files Lawsuit Against Gavin Newsom, California Over Church Restrictions","13.67","24.33"
"Eric Metaxas: Beyond Bible Burnings, Why Christians Should be Alarmed by Assault on Western Values","24.33","24.33"
"Meet the gun owners who support (some) gun control","1.67","46.33"
"Biden redefined ‘bipartisan.’ GOP moderates say it leaves them out.","-0.33","45.67"
"Reopen public schools? How Chicago became ground zero for debate.","-1","45"
"Monday Sunrise Briefing: A US push for accountability","0.33","43.33"
"‘A fearless fighter’: Biden taps Kamala Harris for VP","-4.67","43.33"
"In South Africa, female ministers have a message: It’s time for equality","-5","45.33"
"Trump’s executive actions: Legal? Helpful? Three questions.","0","47.33"
"Beirut’s challenge: A wealth of volunteers and a deficit of trust","-3.67","47"
"In a polarized world, what does ‘follow the science’ mean?","1.67","49.33"
"They’ve faced brutal cops abroad. Now they’re advising US protesters.","-8.67","44"
"More parents are home schooling. How that will change public education.","1.5","49.5"
"This Georgia city beat back COVID-19. It wishes states would pay attention.","1.5","52"
"Next pandemic threat to economy: A wave of evictions","-6.33","44.33"
"As China tensions rise, Trump and Biden spar for ‘tough guy’ mantle","-1.33","48.33"
"‘The right call’: Washington NFL team to drop 'Redskins' name","-2","48.79"
"Americans say schools are less safe since Columbine, despite data","4.75","42.75"
"Should the census ask about citizenship? Supreme Court to weigh in.","3.25","46.5"
"Northern composure: Can Canada stave off the West’s populist anger?","-2.75","46.25"
"Not guilty, say Loughlin, Giannulli in college bribery scam","0","52.67"
"Paris can learn others’ lessons in loss after Notre Dame fire","0","48.67"
"Is grocery packaging necessary? Not for these shops.","-1","41.67"
"Nebraskans talk extreme weather. Just don’t call it climate change.","1.33","47.67"
"Is America’s media divide destroying democracy?","-2.33","43"
"In rare rebuke, Senate votes to block Trump’s emergency order","1.33","45"
"3 million Venezuelans have fled. Who will rebuild?","0.5","43.75"
"On a Mail-In Ballot and a Prayer, Biden Wins White House","0","43.67"
"John Piper’s Liberty Convocation Pulled After Election Post","0","45.67"
"Trump Becomes the First President Since Eisenhower to Change Faiths in Office","0","47"
"Fired Hillsong NYC Pastor Carl Lentz Apologizes for Infidelity","0","48"
"The Possible Decline of the Nones Isn’t a Boost for Evangelicals","10.67","46.33"
"Craig Groeschel Quarantined After Coronavirus Exposure at Willow Creek Germany","6.33","51.33"
"Eugene Cho Named President of Hunger Advocacy Org","6.33","49.67"
"Spiritual Abuse Definition Debated by UK Christians","6.33","47.67"
"Nigeria’s Government Agrees: Islamist Terrorists Target Christians","11.6","35.8"
"Must Pro-Life Mean Pro-Trump?","15.33","29"
"Pro-Life Democrats Remind Candidates They Exist","12.33","44.67"
"Report: L’Arche Founder Jean Vanier Abused Multiple Women","3.67","45.33"
"500 of Korea’s 1,000 Coronavirus Cases Tied to Shincheonji Church","5","49"
"Supreme Court Extends LGBT Anti-Discrimination Protections","7.2","45.2"
"Mike Golic’s long ESPN career will come to a close at Fiesta Bowl","-0.33","43.17"
"Is the coronavirus pandemic causing us to become an athleisure society? We asked local fashion experts and brands","-0.67","41"
"Cleveland City Council President Kevin Kelley blasts DoorDash for charging customers ‘Cleveland fee’","-4.67","41.33"
"Ohio reports 8,178 new coronavirus cases: Wednesday update","0","50"
"How the pandemic is messing with kids’ mental health: Coping through COVID","0","44"
"Cleveland cop fired for stepping on man’s neck, using Taser on man in separate incidents","1","45.33"
"Strongsville schools plan return to in-person learning in mid-January","0","48"
"Ohio Supreme Court rules in favor of city in case brought by South Euclid Municipal Court","0","48"
"Ohio behind on vaccine shipments, but officials say new doses on the way","0","48.83"
"Three Cleveland police officers accused of attacking fellow officer during brawl at union hall","0.33","47.33"
"Ohio Senate avoids a Gov. Mike DeWine veto override vote on public health orders in an 11th hour bill amendment","-0.33","46"
"Lawmakers pass bill increasing penalties for trespassing, committing crimes at oil refineries, power stations, natural gas pipelines, other projects","0.33","48"
"National Guard member assaulted in jail, report says: Overnight News Links","0","49.67"
"Ohio lawmakers to end session without addressing scandal-drenched House Bill 6","-1","48.33"
"Gov. Mike DeWine says he hasn’t read letter from former PUCO commissioners calling for more aggressive investigation of FirstEnergy","-1.67","48.67"
"Cleveland reports 207 new cases of coronavirus: Tuesday update","0","49"
"Columbus police officer on noise complaint shoots, kills unarmed Black man","-0.67","48.33"
"Nurses question hospitals’ claims they’re contracting coronavirus in the community instead of at work","-4.33","48.33"
"Israel, Gaza bombings rage as Biden’s cease-fire call goes ignored","-5","44"
"Almost 20% of unvaccinated Americans still prefer J&J Covid vaccine after U.S. pause, survey shows","0","48.67"
"Bill Gates: Nuclear power will 'absolutely' be politically acceptable again — it's safer than oil, coal, natural gas","-3","45.67"
"GOP Rep. Marjorie Taylor Greene's donors largely stick with her after House ousts her from committees","0","52.75"
"Moderna CEO says the world will have to live with Covid 'forever'","0","46.67"
"What Biden's student loan forgiveness plan would mean for borrowers","-6.5","44.25"
"Jobs report shows fewer hires as recovery loses momentum","0","48.33"
"Stocks fall following Trump's positive virus test, but close off the worst levels on stimulus hopes","-2","47.67"
"Google abandoning a new Dublin office signals change for the commercial property markets","0","43"
"In New Zealand, microbes are extracting gold from electronic waste","-1.67","52.33"
"The fighting between Armenia and Azerbaijan, explained","0","53.67"
"Former President Jimmy Carter lives in a $167,000 house and shops at the Dollar General","-1.33","47"
"President Trump, first lady Melania test positive for coronavirus","-2.33","52.33"
"Fed calls for more fiscal stimulus. Four market analysts on what's ahead for stocks","0.67","37"
"California is monitoring at least 8,400 people for the coronavirus","0","49"
"Amazon cuts more than 1,200 delivery contract jobs, even as that part of its business booms","-0.67","44.67"
"U.S. weekly jobless claims fall to 963,000, first time below 1 million since mid-March","0","50"
"American Airlines prepares to drop some service to smaller cities as expiration of federal aid nears","0","47.67"
"Here's how Robinhood is raking in record cash on customer trades — despite making it free","-2.67","50"
"Coronavirus live updates: EU to buy 300 million doses of potential vaccine; Fauci concerned with U.S. outbreak","-2","49.67"
"Trump denies telling Jets owner, Ambassador Johnson, to ask U.K. for help getting British Open at president's golf course","-2","46.67"
"Prosecutors deny Michael Cohen was sent back to prison over dispute about Trump book","-1","52.5"
"Judge denies gag order request by Ghislaine Maxwell in Jeffrey Epstein sex crimes case","0","49.5"
"GOP considers extending unemployment benefit at reduced level of $100 a week through December","-2.33","45"
"Chinese consulate in San Francisco is harboring a military-linked researcher wanted for visa fraud, FBI says","0.33","54.33"
"Google, Alphabet employees to form union so they have a 'meaningful say'","-4.67","48.67"
"Apple board adds Monica Lozano, education advocate and ex-journalist","-1","46"
"New York car ownership jumps nearly 40% as pandemic creates mass transit worries","-2.33","45.67"
"I got the COVID-19 vaccine sooner than expected. Here's what it was like","0","44"
"Here are the robots taking the virtual stage at CES 2021","-0.33","45"
"COVID-19 vaccine card is not an immunity passport. Here's the difference","0","47.33"
"Here's why you should wear a mask even after getting COVID-19 or the vaccine","0","46.67"
"Where to get a COVID-19 vaccine: Walmart, Walgreens, hospitals, more","0","47.33"
"Inside the dystopian nightmare of an internet shutdown","0","47.67"
"Recycling electronics: What to do with your old laptops, phones, cameras and batteries","0","44.33"
"UPS, Amazon delivery drones are a step closer to reality with new US rules","0","46.33"
"Trump signs stimulus bill ahead of government shutdown, releasing checks and aid","0","47"
"Moved recently? How to tell the IRS, USPS where to send your next stimulus check","0","48.33"
"Our Apollo-inspired dreams of living on the moon could still come true","0","49.33"
"China's Chang'e 5 blasts off from lunar surface loaded with moon rocks","0","50"
"Walmart Plus removes $35 minimum spend for free shipping","0","49.67"
"Trump says he'll leave office if Electoral College formalizes Biden win","-4.67","46"
"Pfizer COVID-19 vaccine will go into use next week in the UK","0","48.33"
"Homeland Security watchdog to examine agency's use of phone location data","0","47.67"
"Best Buy flash sale: You've got 12 hours to score deals on Fitbit Versa 3, Theragun, earbuds and more","0","38.67"
"Google researcher demonstrates iPhone exploit with Wi-Fi takeover","0.67","47"
"Trump threatens veto of defense bill unless Congress nixes Section 230","-4.33","49.67"
"How Boeing is building the world's most powerful deep-space rocket","0","42"
"How Trump and McConnell set the final pieces for the Supreme Court to reconsider Roe v. Wade","-8.67","45"
"'Black fungus' in India: What we know about the disease affecting Covid patients","0","48"
"Hamas predicts ceasefire is 'imminent' amid growing global pressure","-2","49.33"
"Analysis: Why Biden is not diving into Middle East peace brokering","-7.67","38.67"
"Florida Gov. Ron DeSantis signs restrictive voting bill","-7.67","43.67"
"Justice for George Floyd: What Matters","-2","46"
"Why Matt Gaetz's days in politics are likely numbered","-10","35"
"Map: See where lawmakers have introduced bills that would make it harder to vote","-7","41.67"
"Republican congresswomen revoke endorsements of Texas GOP candidate after 'hurtful and untrue' comments about Chinese immigrants","-3.33","48"
"Obama congratulates MLB for 'taking a stand' against Georgia election law as Trump calls for boycott","-4.67","47.67"
"Syria forced to ration fuel as stricken ship keeps Suez Canal blocked","-0.67","47.67"
"'Cancel culture' or corporate cowardice?","-6.33","38"
"It's now illegal in Georgia to give food and water to voters in line","-6","47"
"Suez Canal: Efforts to refloat Ever Given container ship continue","0","49"
"Mr. Potato Head tries to be more gender neutral","-1.33","46"
"How Biden's massive Covid relief bill was put on a glide path to passage","-1","46.67"
"Opinion: Without a global vaccine plan, coronavirus variants could lead to untold number of deaths","-6","40.67"
"Trump and his CPAC fans lead GOP down a losing path (Opinion)","5.33","34.33"
"100-year-old former Nazi concentration camp guard charged with Holocaust atrocities","0","46.33"
"Last year's American economy shrank the most since 1946","0","45.33"
"Trump's been impeached again. What's next?","-6.2","42.6"
"Biden to be inaugurated as 46th president as Trump leaves Washington","-9.5","46.5"
"In a last-minute move, NSA installing Trump loyalist as general counsel","-6","42.67"
"Trump explodes at Nixon comparisons as he prepares to leave office","-6","42.33"
"Capitol riots unleashed long-term danger, experts warn","-8.33","36"
"Suspect in Boulder stabbing headed to trial in 2021","0.67","44.33"
"Top 10 local stories of 2020: No. 2 — School districts forced to innovate new learning models for safety amid pandemic","0","44.33"
"Almost all CU Boulder students suspended this year violated campus or local coronavirus mandates","-0.67","43.67"
"CU Boulder reports increase in student suspensions, discipline tied to public health orders","0.67","43.67"
"Boulder rental market adjusts to COVID realities","0","46.67"
"Former Australian Prime Minister Malcolm Turnbull to give virtual talk hosted by CU Boulder","-1.33","49"
"Why COVID-19 has made college application season even more stressful this year","0","47.33"
"Marijuana: A wet blanket over your emotions","0","35"
"Boulder County reports 39 new coronavirus cases, two deaths","0","47"
"Sex offender accused of looking up child porn on store iPad set for trial","0","44.33"
"Top 10 local stories of 2020: No. 7 — Boulder County approves stricter oil and gas regulations","-0.67","47.33"
"Boulder County reports 65 new coronavirus cases, no new deaths, 7 new outbreaks","0","49.33"
"Niwot Ridge recovering from acid rain, CU Boulder study finds","-4","46.67"
"Top 10 local stories of 2020: No. 6 — Boulder County protests echo national Black Lives Matter movement","-9.67","43"
"University of Colorado Boulder research team discovers compound that could aid in fight against antibiotic-resistant bacteria","0","49"
"Jen Psaki Shuts Down Fox News Reporter's Dr. Seuss Question: VIDEO","-10.5","30.5"
"Lady Gaga Offers $500k After Dog Walker Shot, 2 Dogs Stolen","0","39.67"
"Nancy Pelosi Has Twitter LOLing After Accidentally Calling GOP Sen. 'Don Johnson' During Press Briefing","-2.67","36"
"DC News Anchor 'Annoyed' Obese People Have Vaccine Priority","-1.67","38.33"
"Former Olympic Gymnastics Coach Found Dead After Trafficking Charges","0","52.33"
"Mitt Romney Offers Grim Prediction For Republican Party In 2024","-11","22.67"
"People Are Discovering Elizabeth Olsen Is Mary-Kate & Ashley's Sister: VIDEO","0","32"
"Rand Paul Anti-Trans Rant At Dr. Levine's Confirmation Hearing: VIDEO","-14","32"
"Jen Psaki Shuts Down Peter Doocy's Migrant Kids Gotcha Question: VIDEO","-11.33","32"
"Oreo Creates A Stir On Twitter With 'Trans People Exist' Tweet","-10","32"
"Historian Epically Schools Ted Cruz For Trying To Drag Biden's Health Sec. Pick As A 'Trial Lawyer'","-9","32.67"
"Texas GOP Gov. Dragged For Seeming To Practice 'Sounding Sincere' During Mic Check For Press Briefing","-9.33","33.33"
"Tucker Carlson Says QAnon Doesn't Exist Since There's No 'Website': VIDEO","-8.67","34.33"
"Ice-T Shares Brutal 2012 Tweet About Limbaugh After His Death","-11.33","26.67"
"A Guy Texted His Ex-Girlfriend That She's A 'Moron' During Capitol Riots—So She Turned Him In","-7.33","33.33"
"'Blood Is on Abbott's Hands': Anger at GOP Leaders Surges as Food, Water Shortages Compound Texas Power Crisis","-14.29","35.57"
"Under Pressure From Workers, Biden Requests Resignation of 'Extreme, Anti-Union' Labor Board Lawyer","-12.33","38"
"Joy, Relief, and Healing as Biden Ends Trump's Racist Muslim Ban in Day One Executive Order","-12.67","35"
"Lynching Political Correctness","-11","38"
"Omar and Ocasio-Cortez Tell Josh Hawley to 'Resign'—And Poll Shows Majority of Missouri Voters Agree","-15.67","31"
"'$2,000 Means $2,000': Ocasio-Cortez Says $1,400 Payments in Biden Plan Fall Short of Promised Relief","-15.33","41"
"'Thoughts and Prayers to the NRA': Reviled Gun Lobby Group Files for Chapter 11 Bankruptcy","-19.33","26.67"
"The Mobster-in-Chief","-18.67","39"
"As Trump Enjoys Balcony Photo-Op, White House Cleaning Staff Sick With Covid-19 Told to Use 'Discretion'","-14","37"
"Still 'Miles to Go' to Ensure a Safe and Fair Election, Rights Groups Say After DeJoy Announces Suspension of Changes to Mail Operations","-20.5","43.25"
"Why I Am Voting No on the Democratic Party Platform","-27.5","29.5"
"'Silence Is Complicity': GOP Condemned for Doing Nothing as Trump Openly Touts Sabotage of Postal Service","-12","40.83"
"Learning From the Hibakushas","-10.17","38.17"
"'Just Comes Out and Says It': Trump Declares Postal Service Can't Handle Mail-In Voting Because He's Blocking Funding","-17.33","46"
"As GOP Blocks Covid Relief, Experts Warn of 'Wave of Despair' and Devastating Anecdotes Show Crisis Already Here","-18.33","47"
"'This Has to Stop': Oregon Senators Unveil Amendment to Bar Trump From Sending Secret Police Into US Cities","-11.67","43.33"
"Time to Invest in Affordable Housing and Education, Not Tear Gas, Batons, and State-Sanctioned Murder","-20.33","38"
"How NOT to Resist Trump: Kayleigh McEnany’s Anti-Science Comments","-11.67","36"
"In Scathing Obituary, Texas Woman Blames GOP 'Carelessness' for Mother's 'Undeserving' Covid-19 Death","-20","42.8"
"McConnell Laughs When Asked If Covid-19 Bill Will Pass by End of Next Week—When Unemployment Benefits Expire for 30 Million","-22","35.5"
"As Supreme Court Blocks Louisiana's Anti-Choice Law, Reproductive Rights Groups Breathe Sigh of Relief—and Prepare for Continued Fight","-15.75","40.38"
"Ocasio-Cortez Warns Biden That Just Throwing Progressives a 'Couple of Bones' Will Not Be Enough","-18.43","42.57"
"'This Merger Is a Monopolistic Disaster': Consumer Groups Decry Approval of T-Mobile/Sprint Deal","-21.67","30.67"
"NH Voter Says Live on MSNBC That Network's Effort to Tear Down Bernie Sanders Made Her Vote for Him","-19.67","30.33"
"'We're Just Getting Started,' Says Union Leader, as Worker Strike Activity Hits 35-Year High Under Trump","-19","41.67"
"Russia hoaxer Shep Smith shuts down Notre Dame fire speculation on his show","23.25","19"
"GOP senators push double-decker welfare program","20.75","18.75"
"Omar’s controversial first months pay off big in donation dollars","24.33","26"
"Sitting federal judge to Trump: I can compare you to the KKK but you can’t criticize me","17","31.67"
"Levin: Ilhan Omar is facing pushback because she’s a ‘Jew-hating, anti-Semitic, anti-American radical’","21","19"
"It’s not about building a wall. It’s about building a will","25","19.67"
"Levin: ‘Human souls were slaughtered … and they’re attacking our president’","18.33","31.5"
"Nonsense: Here’s why the civilian AR-15 isn’t a ‘weapon of war’","20.86","23.14"
"Russiagate Ain’t Over","-17.67","35.67"
"The Making of US Empire at the Beginning of its End","-9","35.33"
"Counter Trumpism By Ending the Conditions That Created It","-22","26.67"
"Capitol Incident a Dress Rehearsal","-7.67","34"
"LEE CAMP: The Pandemic Dirty Dozen","-22.33","29.33"
"JOHN KIRIAKOU: Corizon Health’s Sick Treatment of Prisoners","-6.33","40"
"John Pilger: The Most Lethal Virus is Not Covid-19. It is War.","-32.67","11"
"The Mega Machine & the Mega Crisis","-30.33","26.33"
"RAY McGOVERN: Why Michael Morell Cannot Be CIA Director","-25","32.33"
"A Convergence of Calamities","-6.33","39.33"
"Only Kooks Believe In The Deep State","-15.33","32.67"
"ELECTION 2020: The Rise of the Council for National Policy and Who is Behind It","-20.33","29"
"The Faded Irony About UK Imperialism","-7.67","36.67"
"What Kamala Harris Really Thinks of WikiLeaks","6.5","38"
"LEE CAMP: The Execution of Elephants and Americans","-14","25.25"
"Kamala Harris’s Distinguished Career of Serving Injustice","-10","37.25"
"How The Guardian Betrayed Corbyn and the Vestiges of British Democracy","-11.67","35"
"US Postal Service Was Never a Business. Stop Treating It Like One","-6","42.67"
"THE ANGRY ARAB: Silence Over Lebanon’s Suffering","-11","33"
"LEE CAMP: The Life-Saving Covid-19 Drugs You’ve Never Heard Of (and Why)","-27","22"
"RAY McGOVERN: Powell & Iraq—The Uses and Abuses of National Intelligence Estimates","-16","31.33"
"SCOTT RITTER: Powell & Iraq—Regime Change, Not Disarmament: The Fundamental Lie","-17.5","39"
"PATRICK LAWRENCE: Cold War Escapades in the Pacific","-14.2","36.6"
"Hey President Biden, Thanks but I Don’t Want “Unity”","-14.67","29.67"
"Joe Biden’s Oval Office: The New President's Office Featured Decor Used by Bill Clinton, Donald Trump, and George W. Bush","-14.67","37"
"Seeing Doug Emhoff as Second Gentleman Upends Masculinity—For the Best","-10.67","33.67"
"We're Still Fighting Islamophobia","-14","36.67"
"Trump Didn’t Ignite an Insurrection on His Own. These Men Handed Him the Match","-15.67","31"
"If Black Lives Matter Protestors Stormed the Capitol, We Would Have Been Kettled at the Barricades","-13.33","34"
"So, Uh, Is Trump Gonna Go to Jail?","-12.67","40.33"
"Who Is Doug Emhoff, Vice President Kamala Harris' Husband?","-6.67","38.33"
"A “Blue Wave” Can’t Happen When the GOP Is This Good at Cheating","-22.67","15.33"
"Greta Thunberg Hilariously Trolls Donald Trump on Twitter With His Own Tweet","-10","31"
"The White Pantsuit Finally Had the History-Making Moment We’ve All Been Waiting For","-8","33"
"How to Get Involved in the Georgia Senate Runoff Races","-9.67","45.67"
"Reproductive Rights Books — 25 Books About Reproductive Rights Everyone Should Read","-12.67","41.33"
"Barack Obama on the ""Most Badass"" Traits of His Daughters Malia and Sasha","-10","34.67"
"I Paid Off My Student Loans and I Want Debt Forgiveness","-15","30.33"
"The Names You Should Know on Transgender Day of Remembrance 2020","-11.33","45.67"
"Roaming Charges: White Riot, I Wanna Riot of My Own","-27","25.33"
"The Plot Against Libya","-23.33","37"
"In Promoting New Nuclear Power, Biden-Harris Back Fiction Over Science","-27.67","31.33"
"Roaming Charges: After/Math","-29.67","25.33"
"CounterPunch.org","-21.3","26.2"
"Trump and Covid","-20.5","38.5"
"Teaching Torture: The Death and Legacy of Dan Mitrione","-23","41"
"Why a Growing Force in Brazil Is Charging That President Jair Bolsonaro Has Committed Crimes Against Humanity","-21","33"
"Don’t Stigmatise the Nuke! Opponents of the Nuclear Weapons Ban Treaty","-7.67","45"
"Nine Mile Ride: Why Police Reform Always Results in More Police Violence, Not Less","-12.67","45.33"
"Losing Thoreau in Boston","-10.33","25.33"
"Tear Gas, Beatings and Projectiles in Portland","-15.67","38.33"
"Trumpfen Sturmabteilung (Trump’s Stormtroopers)","-25","23.33"
"The UK’s Sinking Brexit Ship","-20","33.6"
"Time is Not on Our Side in Libya","-10.5","45.5"
"Netanyahu’s Victory in Israel Tells Us About the Balance of Power in the Middle East","-12.75","35"
"Why is the Venezuelan Government Rejecting U.S. Food Supplies?","-15.75","40"
"Talking Trash: Unfortunate Truths About Recycling","-10.33","39.5"
"Global Kids Strike","-13","31.33"
"Ukania’s Great Privatization Heist","-17.5","30.67"
"Re-Targeting Cuba: Why Title III of U.S. Helms-Burton Act will be a Horror Show","-15.71","37.14"
"QAnon Is Merging With White Extremist Sovereign Citizens","-14","35"
"My Pillow Guy Banned From Twitter, May Run For Office","-17","31.67"
"The GOP Just Can't Quit Trump — 45 Senators Vote Not To Hold Impeachment Trial","-21","29.67"
"Chuck Todd Smacks Down Jason Miller: 'Stop With This. You Know You’re Making Stuff Up'","-20","31.33"
"Gov. Ron DeSantis Compares Kids Going To School With Navy SEALs Hunting Osama Bin Laden","-25","26.33"
"Once Again, Trump Insists He'll Eliminate Payroll Tax If Re-Elected","-12.5","38.5"
"AOC's Challenge For Trump To Compare College Transcripts Goes Viral","-27.5","38"
"Donald Trump Gives Away The Game: No Funds For USPS Means No Mail-In Voting","-17.17","31.33"
"New Fox Lawsuit Accuses Ed Henry Of Rape, Hannity And Carlson Of Sexual Harassment","-19.33","26.67"
"Brianna Keilar Expertly Shreds Trump Flack's Dangerous Lies, Then Cuts Him Off","-19.8","37.8"
"A Covid-19 Cautionary Tale: Economic Recovery Depends On Public Health","-28.67","35"
"Did We Just See Trump Send A Signal To Ghislane Maxwell?","-26","27"
"Twitter Cracks Down On Qanon, Bans Over 7000 Accounts","-30","29.5"
"Bill Weld Steps Up To Primary Trump","-19","33"
"White House Officials Worried Daddy Will Be Mad They Told On Him","-12.75","31"
"Lawmaker: Outlaw Abortion Because Women Are 'Just Not Having Enough Babies'","-22.33","19.67"
"Stu Varney Rages At Bernie Sanders' Tax Plan: 'Where's The Fairness?'","-28","26.75"
"Michele Bachmann: 'No More Godly President' Than Trump","-14.33","31"
"Washington State Requires Tax Returns To Be On 2020 Ballot","-24","24"
"At Town Hall, Gillibrand Defends Her Stand On Franken","-22.33","29"
"SHOCKER: Trump Is STILL Not A Fan Of McCain, And STILL Talking About It","-21.5","15"
"After 100 Years, Mussolini's Fascist Party As A Reminder Of The Fragility Of Freedom","-12.17","32.17"
"NYT Journalist: Stop Mincing Words - Trump Is Racist","-27","21.67"
"Did The White House Stage Situation Room Baghdadi Raid Photo?","-23","29.5"
"Why We Should All Fear Facebook’s Oversight Board <U+2767> Current Affairs","-20","36"
"Rachel Cohen on the Great Charter School Controversy","-8.33","40"
"The Nature of Money","-9.33","39.67"
